Started Training CB and IGL on Sat Aug 14 20:28:51 UTC 2021.
Saving to ../notes/result_2021-08-14_20:28:51.dat
|: -----------------------------------------------------------------------------------------------------:|
|Filename	|	Num Examples	|	CB Loss|IGL Loss	|	IGL Flipped Sign Loss|
ds_22_10.vw.gz 		2000	0.917000	0.898000	0.881000	
ds_23_3.vw.gz 		1473	0.737950	0.716225	0.600815	
ds_244_6.vw.gz 		1000000	0.986257	0.987662	0.267067	
ds_245_6.vw.gz 		1000000	0.987855	0.985072	0.267142	
ds_247_26.vw.gz 		1000000	0.969609	0.969065	0.961947	
ds_248_7.vw.gz 		1000000	0.973925	0.972879	0.654778	
ds_249_4.vw.gz 		1000000	0.975000	0.974520	0.319193	
ds_250_10.vw.gz 		1000000	0.982684	0.982580	0.770376	
ds_252_10.vw.gz 		1000000	0.977078	0.975983	0.767333	
ds_253_6.vw.gz 		1000000	0.967496	0.967565	0.507825	
ds_254_10.vw.gz 		1000000	0.972217	0.972057	0.819522	
ds_255_3.vw.gz 		55296	0.746817	0.756583	0.593334	
ds_259_5.vw.gz 		295245	0.981039	0.981202	0.136534	
ds_261_10.vw.gz 		1000000	0.951845	0.952982	0.884789	
ds_263_6.vw.gz 		1000000	0.988144	0.988161	0.272628	
ds_265_7.vw.gz 		137781	0.973930	0.976194	0.683389	
ds_266_5.vw.gz 		1000000	0.982628	0.982106	0.235922	
ds_268_4.vw.gz 		1000000	0.849149	0.849010	0.651839	
ds_26_5.vw.gz 		12960	0.985417	0.988040	0.633642	
ds_271_3.vw.gz 		1000000	0.975875	0.975871	0.170205	
ds_272_7.vw.gz 		1000000	0.964697	0.965190	0.543539	
ds_275_6.vw.gz 		71	0.760563	0.845070	0.577465	
ds_276_4.vw.gz 		74	0.756757	0.824324	0.459459	
ds_277_4.vw.gz 		74	0.837838	0.918919	0.459459	
ds_278_4.vw.gz 		74	0.932432	0.837838	0.337838	
ds_279_13.vw.gz 		45164	0.993778	0.987490	0.571694	
ds_285_8.vw.gz 		194	0.865979	0.917526	0.876289	
ds_28_10.vw.gz 		5620	0.984164	0.960676	0.768149	
ds_2_6.vw.gz 		898	0.981069	0.956570	0.275056	
ds_300_26.vw.gz 		7797	0.982557	0.955111	0.921893	
ds_307_11.vw.gz 		990	0.906061	0.930303	0.906061	
ds_30_5.vw.gz 		5473	0.984104	0.980998	0.137767	
ds_313_48.vw.gz 		531	0.986817	0.984934	0.977401	
ds_327_6.vw.gz 		105	0.828571	0.647619	0.704762	
ds_328_6.vw.gz 		105	0.876190	0.838095	0.609524	
ds_329_3.vw.gz 		160	0.787500	0.781250	0.631250	
ds_32_10.vw.gz 		10992	0.925036	0.909207	0.896925	
ds_338_4.vw.gz 		155	0.748387	0.800000	0.761290	
ds_339_3.vw.gz 		36	0.666667	0.722222	0.666667	
ds_340_3.vw.gz 		52	0.769231	0.750000	0.692308	
ds_342_3.vw.gz 		52	0.596154	0.807692	0.634615	
ds_343_4.vw.gz 		63	0.888889	0.507937	0.492063	
ds_34_3.vw.gz 		90	0.944444	0.944444	0.355556	
ds_35_6.vw.gz 		366	0.942623	0.931694	0.874317	
ds_36_7.vw.gz 		2310	0.935498	0.950216	0.845455	
ds_372_46.vw.gz 		10108	0.993965	0.987930	0.966066	
ds_375_9.vw.gz 		9961	0.901917	0.892983	0.881237	
ds_377_6.vw.gz 		600	0.953333	0.895000	0.820000	
ds_378_7.vw.gz 		8844	0.950927	0.929331	0.392243	
ds_381_7.vw.gz 		7485	0.956981	0.931597	0.404275	
ds_382_8.vw.gz 		7019	0.915942	0.854253	0.812794	
ds_383_10.vw.gz 		690	0.966667	0.876812	0.597101	
ds_384_6.vw.gz 		336	0.958333	0.809524	0.541667	
ds_385_7.vw.gz 		927	0.976268	0.840345	0.354908	
ds_386_10.vw.gz 		913	0.957284	0.898138	0.759036	
ds_387_9.vw.gz 		414	0.949275	0.782609	0.729469	
ds_388_6.vw.gz 		204	0.921569	0.539216	0.588235	
ds_389_17.vw.gz 		2463	0.966707	0.948031	0.863581	
ds_390_44.vw.gz 		9558	0.991735	0.956162	0.857815	
ds_391_13.vw.gz 		1504	0.978059	0.907580	0.793883	
ds_392_10.vw.gz 		1003	0.955135	0.891326	0.699900	
ds_393_6.vw.gz 		3075	0.958699	0.956423	0.359675	
ds_394_10.vw.gz 		918	0.950980	0.827887	0.795207	
ds_395_25.vw.gz 		1657	0.981895	0.853349	0.803862	
ds_396_6.vw.gz 		3204	0.976904	0.951311	0.367978	
ds_397_8.vw.gz 		313	0.952077	0.821086	0.750799	
ds_398_20.vw.gz 		1560	0.987821	0.966026	0.723718	
ds_399_10.vw.gz 		11162	0.977961	0.974109	0.512722	
ds_39_8.vw.gz 		336	0.952381	0.654762	0.776786	
ds_400_10.vw.gz 		878	0.986333	0.946469	0.445330	
ds_401_10.vw.gz 		1050	0.953333	0.904762	0.897143	
ds_40927_10.vw.gz 		60000	0.941317	0.940717	0.847367	
ds_40966_8.vw.gz 		1080	0.903704	0.887963	0.871296	
ds_40971_30.vw.gz 		1000	0.969000	0.953000	0.970000	
ds_40975_4.vw.gz 		1728	0.928819	0.915509	0.374421	
ds_40979_10.vw.gz 		2000	0.986000	0.946500	0.957500	
ds_40982_7.vw.gz 		1941	0.922720	0.883565	0.724884	
ds_40984_7.vw.gz 		2310	0.942424	0.895238	0.961039	
ds_40985_20.vw.gz 		45781	0.959852	0.950263	0.946353	
ds_40996_10.vw.gz 		70000	0.991386	0.986471	0.511471	
ds_40997_3.vw.gz 		4704	0.914328	0.883716	0.305697	
ds_40998_3.vw.gz 		4704	0.904337	0.898384	0.299320	
ds_41000_3.vw.gz 		4704	0.894558	0.899022	0.350340	
ds_41001_3.vw.gz 		44819	0.870479	0.870970	0.365158	
ds_41002_3.vw.gz 		5880	0.893367	0.887245	0.359184	
ds_41003_3.vw.gz 		5880	0.827381	0.839116	0.460204	
ds_41004_3.vw.gz 		4704	0.901998	0.910289	0.342900	
ds_41006_3.vw.gz 		5880	0.878231	0.882653	0.305442	
ds_41027_3.vw.gz 		44819	0.867199	0.866954	0.461099	
ds_41039_47.vw.gz 		131600	0.989559	0.986140	0.959932	
ds_41081_10.vw.gz 		99289	0.905105	0.905458	0.894037	
ds_41082_10.vw.gz 		9298	0.970424	0.956550	0.690471	
ds_41083_40.vw.gz 		400	0.972500	0.977500	0.972500	
ds_41084_20.vw.gz 		575	0.958261	0.954783	0.965217	
ds_41103_10.vw.gz 		13000	0.925615	0.924231	0.864385	
ds_41163_5.vw.gz 		10000	0.937200	0.941300	0.512000	
ds_41164_7.vw.gz 		8237	0.909190	0.921695	0.781110	
ds_41165_10.vw.gz 		10000	0.913400	0.904600	0.905800	
ds_41166_10.vw.gz 		58310	0.956474	0.969199	0.740885	
ds_41167_355.vw.gz 		416188	0.996874	0.996905	0.997311	
ds_41168_4.vw.gz 		83733	0.907217	0.905808	0.551252	
ds_41169_100.vw.gz 		65196	0.995521	0.995782	0.993773	
ds_41440_3.vw.gz 		50789	0.876706	0.874402	0.315659	
ds_41511_3.vw.gz 		150	0.793333	0.706667	0.646667	
ds_41568_3.vw.gz 		150	0.753333	0.600000	0.686667	
ds_41583_3.vw.gz 		150	0.746667	0.646667	0.580000	
ds_41671_5.vw.gz 		20000	0.889000	0.881750	0.553250	
ds_41919_4.vw.gz 		527	0.785579	0.677419	0.776091	
ds_41939_5.vw.gz 		218	0.912844	0.830275	0.862385	
ds_41950_3.vw.gz 		150	0.700000	0.733333	0.766667	
ds_41960_144.vw.gz 		523590	0.999555	0.995789	0.853983	
ds_41972_8.vw.gz 		9144	0.984908	0.962708	0.539479	
ds_41981_15.vw.gz 		296	0.986486	0.702703	0.945946	
ds_41982_10.vw.gz 		70000	0.976071	0.978729	0.531114	
ds_41983_100.vw.gz 		60000	0.991483	0.991417	0.990883	
ds_41986_43.vw.gz 		51839	0.988464	0.978665	0.934895	
ds_41988_43.vw.gz 		51839	0.980459	0.942283	0.940103	
ds_41989_43.vw.gz 		51839	0.988850	0.978742	0.919096	
ds_41990_43.vw.gz 		51839	0.997608	0.988638	0.943845	
ds_41991_49.vw.gz 		270912	0.991879	0.991824	0.928113	
ds_41997_3.vw.gz 		150	0.700000	0.706667	0.800000	
ds_41_7.vw.gz 		214	0.985981	0.700935	0.742991	
ds_42003_3.vw.gz 		150	0.760000	0.720000	0.766667	
ds_42011_3.vw.gz 		150	0.720000	0.660000	0.746667	
ds_42016_3.vw.gz 		150	0.713333	0.733333	0.626667	
ds_42021_3.vw.gz 		150	0.740000	0.646667	0.673333	
ds_42026_3.vw.gz 		150	0.773333	0.653333	0.673333	
ds_42031_3.vw.gz 		150	0.726667	0.760000	0.640000	
ds_42036_3.vw.gz 		150	0.746667	0.653333	0.766667	
ds_42041_3.vw.gz 		150	0.686667	0.720000	0.513333	
ds_42046_3.vw.gz 		150	0.786667	0.666667	0.693333	
ds_42051_3.vw.gz 		150	0.666667	0.660000	0.613333	
ds_42056_3.vw.gz 		150	0.780000	0.626667	0.813333	
ds_42066_3.vw.gz 		150	0.773333	0.686667	0.673333	
ds_42071_3.vw.gz 		150	0.693333	0.726667	0.753333	
ds_42098_3.vw.gz 		150	0.760000	0.666667	0.673333	
ds_42140_10.vw.gz 		9927	0.901984	0.874987	0.847487	
ds_42141_10.vw.gz 		49644	0.906192	0.893361	0.899061	
ds_42167_2.vw.gz 		202	0.767327	0.757426	0.242574	
ds_42169_5.vw.gz 		224	0.973214	0.941964	0.544643	
ds_42177_nan.vw.gz 		0	n.a.	n.a.	n.a.	
ds_42186_3.vw.gz 		150	0.746667	0.580000	0.673333	
ds_42223_186.vw.gz 		201	0.990050	0.995025	1.000000	
ds_42261_3.vw.gz 		150	0.646667	0.660000	0.700000	
ds_42345_3.vw.gz 		70340	0.948749	0.948564	0.506184	
ds_42396_1000.vw.gz 		108000	0.999093	0.999000	0.999065	
ds_42468_5.vw.gz 		830000	0.931155	0.930695	0.570382	
ds_42532_9.vw.gz 		2778	0.970122	0.939885	0.731821	
ds_42544_8.vw.gz 		265	0.883019	0.871698	0.890566	
ds_42585_3.vw.gz 		344	0.741279	0.741279	0.674419	
ds_42641_5.vw.gz 		18982	0.904699	0.914393	0.611421	
ds_42670_5.vw.gz 		18982	0.908808	0.907439	0.621642	
ds_42700_3.vw.gz 		150	0.760000	0.706667	0.726667	
ds_42718_4.vw.gz 		1000000	0.847735	0.847809	0.649487	
ds_42734_3.vw.gz 		50789	0.882475	0.880703	0.313375	
ds_42746_23.vw.gz 		4898431	0.997789	0.997797	0.219282	
ds_42793_4.vw.gz 		75	0.840000	0.560000	0.573333	
ds_42819_37.0.vw.gz 		
ds_42820_37.vw.gz 		7349	0.982311	0.972513	0.976051	
ds_42_19.vw.gz 		683	0.970717	0.967789	0.900439	
ds_43028_5.vw.gz 		709	0.933709	0.956276	0.452750	
ds_43029_5.vw.gz 		699	0.912732	0.675250	0.432046	
ds_43033_5.vw.gz 		699	0.957082	0.945637	0.540773	
ds_43035_5.vw.gz 		699	0.945637	0.917024	0.427754	
ds_443_5.vw.gz 		95	0.894737	0.831579	0.431579	
ds_449_4.vw.gz 		163	0.969325	0.920245	0.484663	
ds_452_7.vw.gz 		285	0.919298	0.870175	0.663158	
