Started Training CB and IGL on Wed Aug 18 02:05:45 UTC 2021.
Saving to ../notes/result_2021-08-18_02:05:45.dat
|: -----------------------------------------------------------------------------------------------------:|
|Filename	|	Num Examples	|	CB Loss|IGL Loss	|	IGL Flipped Sign Loss|
ds_265_7.vw.gz 		137781	0.685189	0.689014	0.687207	
ds_266_5.vw.gz 		1000000	0.235725	0.236258	0.236184	
ds_268_4.vw.gz 		1000000	0.651283	0.848614	0.848625	
ds_26_5.vw.gz 		12960	0.597608	0.941127	0.954552	
ds_271_3.vw.gz 		1000000	0.170170	0.170782	0.170773	
ds_272_7.vw.gz 		1000000	0.544607	0.540924	0.542647	
ds_275_6.vw.gz 		71	0.845070	0.760563	0.760563	
ds_276_4.vw.gz 		74	0.378378	0.756757	0.756757	
ds_277_4.vw.gz 		74	0.405405	0.837838	0.837838	
ds_278_4.vw.gz 		74	0.391892	0.932432	0.932432	
ds_279_13.vw.gz 		45164	0.565406	0.554512	0.563878	
ds_285_8.vw.gz 		194	0.809278	0.829897	0.835052	
ds_28_10.vw.gz 		5620	0.760320	0.767438	0.747153	
ds_2_6.vw.gz 		898	0.283964	0.444321	0.444321	
ds_300_26.vw.gz 		7797	0.859818	0.983840	0.977427	
ds_307_11.vw.gz 		990	0.921212	0.912121	0.912121	
ds_30_5.vw.gz 		5473	0.137402	0.137585	0.137402	
ds_313_48.vw.gz 		531	0.977401	0.962335	0.962335	
ds_327_6.vw.gz 		105	0.647619	0.780952	0.780952	
ds_328_6.vw.gz 		105	0.628571	0.847619	0.847619	
ds_329_3.vw.gz 		160	0.631250	0.681250	0.681250	
ds_32_10.vw.gz 		10992	0.896652	0.898654	0.912209	
ds_338_4.vw.gz 		155	0.800000	0.767742	0.767742	
ds_339_3.vw.gz 		36	0.722222	0.750000	0.694444	
ds_340_3.vw.gz 		52	0.634615	0.769231	0.769231	
ds_342_3.vw.gz 		52	0.557692	0.557692	0.557692	
ds_343_4.vw.gz 		63	0.507937	0.904762	0.904762	
ds_34_3.vw.gz 		90	0.344444	0.344444	0.344444	
ds_35_6.vw.gz 		366	0.874317	0.887978	0.887978	
ds_36_7.vw.gz 		2310	0.770130	0.893074	0.942857	
ds_372_46.vw.gz 		10108	0.740503	0.882074	0.909774	
ds_375_9.vw.gz 		9961	0.859954	0.877422	0.889168	
ds_377_6.vw.gz 		600	0.780000	0.888333	0.885000	
ds_378_7.vw.gz 		8844	0.395522	0.403098	0.402533	
ds_381_7.vw.gz 		7485	0.398798	0.404142	0.398798	
ds_382_8.vw.gz 		7019	0.821769	0.821485	0.834592	
ds_383_10.vw.gz 		690	0.784058	0.713043	0.713043	
ds_384_6.vw.gz 		336	0.342262	0.342262	0.342262	
ds_385_7.vw.gz 		927	0.323625	0.323625	0.323625	
ds_386_10.vw.gz 		913	0.716320	0.858708	0.864184	
ds_387_9.vw.gz 		414	0.731884	0.712560	0.714976	
ds_388_6.vw.gz 		204	0.470588	0.941176	0.941176	
ds_389_17.vw.gz 		2463	0.749086	0.829476	0.970361	
ds_390_44.vw.gz 		9558	0.956162	0.925926	0.956162	
ds_391_13.vw.gz 		1504	0.571144	0.568484	0.543218	
ds_392_10.vw.gz 		1003	0.676969	0.705882	0.705882	
ds_393_6.vw.gz 		3075	0.334634	0.367480	0.361951	
ds_394_10.vw.gz 		918	0.724401	0.745098	0.745098	
ds_395_25.vw.gz 		1657	0.744116	0.824381	0.824381	
ds_396_6.vw.gz 		3204	0.385144	0.423845	0.427591	
ds_397_8.vw.gz 		313	0.821086	0.702875	0.702875	
ds_398_20.vw.gz 		1560	0.901282	0.987821	0.987821	
ds_399_10.vw.gz 		11162	0.509586	0.526966	0.509944	
ds_39_8.vw.gz 		336	0.654762	0.880952	0.880952	
ds_400_10.vw.gz 		878	0.460137	0.538724	0.538724	
ds_401_10.vw.gz 		1050	0.696190	0.837143	0.838095	
ds_40927_10.vw.gz 		60000	0.845100	0.844400	0.836250	
ds_40966_8.vw.gz 		1080	0.887963	0.848148	0.848148	
ds_40971_30.vw.gz 		1000	0.948000	0.974000	0.979000	
ds_40975_4.vw.gz 		1728	0.366898	0.603009	0.869213	
ds_40979_10.vw.gz 		2000	0.803000	0.798000	0.798500	
ds_40982_7.vw.gz 		1941	0.706337	0.815044	0.921690	
ds_40984_7.vw.gz 		2310	0.830303	0.858874	0.741991	
ds_40985_20.vw.gz 		45781	0.941854	0.945021	0.943404	
ds_40996_10.vw.gz 		70000	0.516614	0.509014	0.486571	
ds_40997_3.vw.gz 		4704	0.294005	0.911352	0.911139	
ds_40998_3.vw.gz 		4704	0.299532	0.494260	0.493197	
ds_41000_3.vw.gz 		4704	0.340986	0.545918	0.412415	
ds_41001_3.vw.gz 		44819	0.359736	0.363596	0.363685	
ds_41002_3.vw.gz 		5880	0.357653	0.767177	0.891837	
ds_41003_3.vw.gz 		5880	0.459184	0.779252	0.783163	
ds_41004_3.vw.gz 		4704	0.341412	0.897959	0.897959	
ds_41006_3.vw.gz 		5880	0.304082	0.335544	0.329932	
ds_41027_3.vw.gz 		44819	0.459560	0.823735	0.868984	
ds_41039_47.vw.gz 		131600	0.953784	0.970403	0.965274	
ds_41081_10.vw.gz 		99289	0.860649	0.860236	0.901903	
ds_41082_10.vw.gz 		9298	0.690256	0.682405	0.672725	
ds_41083_40.vw.gz 		400	0.977500	0.977500	0.977500	
ds_41084_20.vw.gz 		575	0.951304	0.960000	0.960000	
ds_41103_10.vw.gz 		13000	0.859923	0.900077	0.885154	
ds_41163_5.vw.gz 		10000	0.502800	0.552300	0.494100	
ds_41164_7.vw.gz 		8237	0.712881	0.714459	0.711910	
ds_41165_10.vw.gz 		10000	0.856300	0.848800	0.854200	
ds_41166_10.vw.gz 		58310	0.733974	0.757297	0.963231	
ds_41167_355.vw.gz 		416188	0.996855	0.997129	0.997261	
ds_41168_4.vw.gz 		83733	0.551204	0.827463	0.719919	
ds_41169_100.vw.gz 		65196	0.976977	0.986456	0.994831	
ds_41440_3.vw.gz 		50789	0.315049	0.315423	0.315560	
ds_41511_3.vw.gz 		150	0.706667	0.686667	0.686667	
ds_41568_3.vw.gz 		150	0.686667	0.693333	0.693333	
